2025-02-09 02:47:42,728 [INFO] Found template at (209, 66)
2025-02-09 02:47:42,760 [INFO] Click mouse at 965, 598
2025-02-09 02:47:43,818 [INFO] Click mouse at 965, 1098
2025-02-09 02:47:53,500 [INFO] Found template at (209, 66)
2025-02-09 02:47:53,532 [INFO] Click mouse at 965, 598
2025-02-09 02:47:54,583 [INFO] Click mouse at 965, 1098
2025-02-09 02:48:07,544 [INFO] Found template at (209, 66)
2025-02-09 02:48:07,577 [INFO] Click mouse at 965, 598
2025-02-09 02:48:08,638 [INFO] Click mouse at 965, 1098
2025-02-09 02:48:20,502 [INFO] Found template at (209, 66)
2025-02-09 02:48:20,534 [INFO] Click mouse at 965, 598
2025-02-09 02:48:21,585 [INFO] Click mouse at 965, 1098
2025-02-09 02:48:22,670 [INFO] Found template at (353, 451)
2025-02-09 02:48:22,670 [INFO] Click mouse at 1529, 778
2025-02-09 02:48:23,210 [INFO] Click until found 
2025-02-09 02:48:23,216 [INFO] Found template at (168, 49)
2025-02-09 02:48:23,216 [INFO] Click at client 1568, 1034
2025-02-09 02:48:23,216 [INFO] Click mouse at 1574, 1086
